lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sTargetValue	sEquation	sDescription	sRemark	-1	code versie 5.09.00.00	code versie 5.09.00.01	code versie 5.09.00.02	code versie 5.09.00.03	v00-v01	v00-v02	v00-v03	derivNames	short_derivName	Duflow																																																	
328	0	0	0	0	_wPExchPO4WHyp_	_gP_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_PO4_from_and_to_hypolimnion	-	-1	_wPExchPO4WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPO4WHyp_ - _oPO4WEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchPO4WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPO4WHyp_ - _oPO4WEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchPO4WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPO4WHyp_ - _oPO4WEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchPO4WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPO4WHyp_ - _oPO4WEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wPExP4WH_	wPExP4WH	wPExP4WH																																																	
329	0	0	0	0	_wPExchAIMWHyp_	_gP_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_P_adsorbed_to_inorganic_matter_from_and_to_hypolimnion	-	-1	_wPExchAIMWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPAIMWHyp_ - _oPAIMWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchAIMWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPAIMWHyp_ - _oPAIMWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchAIMWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPAIMWHyp_ - _oPAIMWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchAIMWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPAIMWHyp_ - _oPAIMWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wPExAMWH_	wPExAMWH	wPExAMWH																																																	
330	0	0	0	0	_wNExchNH4WHyp_	_gN_*_m_^-3*_d_^-1	1	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_NH4_from_and_to_hypolimnion	-	-1	_wNExchNH4WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNH4WHyp_ - _oNH4WEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchNH4WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNH4WHyp_ - _oNH4WEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchNH4WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNH4WHyp_ - _oNH4WEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchNH4WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNH4WHyp_ - _oNH4WEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wNExN4WH_	wNExN4WH	wNExN4WH																																																	
331	0	0	0	0	_wNExchNO3WHyp_	_gN_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_NO3_from_and_to_hypolimnion	-	-1	_wNExchNO3WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNO3WHyp_ - _oNO3WEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchNO3WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNO3WHyp_ - _oNO3WEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchNO3WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNO3WHyp_ - _oNO3WEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchNO3WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNO3WHyp_ - _oNO3WEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wNExN3WH_	wNExN3WH	wNExN3WH																																																	
332	0	0	0	0	_wSiExchSiO2WHyp_	_gSi_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_SiO2_from_and_to_hypolimnion	-	-1	_wSiExchSiO2WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oSiO2WHyp_ - _oSiO2WEpi_) _ELSE_ 0.0 _ENDIF_	_wSiExchSiO2WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oSiO2WHyp_ - _oSiO2WEpi_) _ELSE_ 0.0 _ENDIF_	_wSiExchSiO2WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oSiO2WHyp_ - _oSiO2WEpi_) _ELSE_ 0.0 _ENDIF_	_wSiExchSiO2WHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oSiO2WHyp_ - _oSiO2WEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wSixS2WH_	wSixS2WH	wSixS2WH																																																	
333	0	0	0	0	_wO2ExchWHyp_	_gO2_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_O2_from_and_to_hypolimnion	-	-1	_wO2ExchWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oO2WHyp_ - _oO2WEpi_) _ELSE_ 0.0 _ENDIF_	_wO2ExchWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oO2WHyp_ - _oO2WEpi_) _ELSE_ 0.0 _ENDIF_	_wO2ExchWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oO2WHyp_ - _oO2WEpi_) _ELSE_ 0.0 _ENDIF_	_wO2ExchWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oO2WHyp_ - _oO2WEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wO2ExWH_	wO2ExWH	wO2ExWH																																																	
334	0	0	0	0	_wDExchDetWHyp_	_gDW_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_DW_of_detritus_from_and_to_hypolimnion	-	-1	_wDExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDDetWHyp_ - _oDDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDDetWHyp_ - _oDDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDDetWHyp_ - _oDDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDDetWHyp_ - _oDDetWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wDExDtWH_	wDExDtWH	wDExDtWH																																																	
335	0	0	0	0	_wPExchDetWHyp_	_gP_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_P_in_detritus_from_and_to_hypolimnion	-	-1	_wPExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPDetWHyp_ - _oPDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPDetWHyp_ - _oPDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPDetWHyp_ - _oPDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPDetWHyp_ - _oPDetWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wPExDtWH_	wPExDtWH	wPExDtWH																																																	
336	0	0	0	0	_wNExchDetWHyp_	_gN_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_N_in_detritus_from_and_to_hypolimnion	-	-1	_wNExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNDetWHyp_ - _oNDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNDetWHyp_ - _oNDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNDetWHyp_ - _oNDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNDetWHyp_ - _oNDetWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wNExDtWH_	wNExDtWH	wNExDtWH																																																	
337	0	0	0	0	_wSiExchDetWHyp_	_gSi_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_Si_in_detritus_from_and_to_hypolimnion	-	-1	_wSiExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oSiDetWHyp_ - _oSiDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wSiExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oSiDetWHyp_ - _oSiDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wSiExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oSiDetWHyp_ - _oSiDetWEpi_) _ELSE_ 0.0 _ENDIF_	_wSiExchDetWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oSiDetWHyp_ - _oSiDetWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wSiExtWH_	wSiExtWH	wSiExtWH																																																	
338	0	0	0	0	_wDExchDiatWHyp_	_gDW_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_DW_in_diatoms_from_and_to_hypolimnion	-	-1	_wDExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDDiatWHyp_ - _oDDiatWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDDiatWHyp_ - _oDDiatWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDDiatWHyp_ - _oDDiatWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDDiatWHyp_ - _oDDiatWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wDExDiWH_	wDExDiWH	wDExDiWH																																																	
339	0	0	0	0	_wPExchDiatWHyp_	_gP_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_P_in_diatoms_from_and_to_hypolimnion	-	-1	_wPExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPDiatWHyp_ - _oPDiatWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPDiatWHyp_ - _oPDiatWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPDiatWHyp_ - _oPDiatWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPDiatWHyp_ - _oPDiatWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wPExDiWH_	wPExDiWH	wPExDiWH																																																	
340	0	0	0	0	_wNExchDiatWHyp_	_gN_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_N_in_diatoms_from_and_to_hypolimnion	-	-1	_wNExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNDiatWHyp_ - _oNDiatWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNDiatWHyp_ - _oNDiatWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNDiatWHyp_ - _oNDiatWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNDiatWHyp_ - _oNDiatWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wNExDiWH_	wNExDiWH	wNExDiWH																																																	
341	0	0	0	0	_wSiExchDiatWHyp_	_gSi_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_Si_in_diatoms_from_and_to_hypolimnion	-	-1	_wSiExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _cSiDDiat_ * _wDExchDiatWHyp_ _ELSE_ 0.0 _ENDIF_	_wSiExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _cSiDDiat_ * _wDExchDiatWHyp_ _ELSE_ 0.0 _ENDIF_	_wSiExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _cSiDDiat_ * _wDExchDiatWHyp_ _ELSE_ 0.0 _ENDIF_	_wSiExchDiatWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _cSiDDiat_ * _wDExchDiatWHyp_ _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wSiExiWH_	wSiExiWH	wSiExiWH																																																	
342	0	0	0	0	_wDExchGrenWHyp_	_gDW_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_DW_in_green_algae_from_and_to_hypolimnion	-	-1	_wDExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDGrenWHyp_ - _oDGrenWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDGrenWHyp_ - _oDGrenWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDGrenWHyp_ - _oDGrenWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDGrenWHyp_ - _oDGrenWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wDEGrnWH_	wDEGrnWH	wDEGrnWH																																																	
343	0	0	0	0	_wPExchGrenWHyp_	_gP_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_P_in_green_algae_from_and_to_hypolimnion	-	-1	_wPExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPGrenWHyp_ - _oPGrenWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPGrenWHyp_ - _oPGrenWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPGrenWHyp_ - _oPGrenWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPGrenWHyp_ - _oPGrenWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wPEGrnWH_	wPEGrnWH	wPEGrnWH																																																	
344	0	0	0	0	_wNExchGrenWHyp_	_gN_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_N_in_green_algae_from_and_to_hypolimnion	-	-1	_wNExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNGrenWHyp_ - _oNGrenWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNGrenWHyp_ - _oNGrenWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNGrenWHyp_ - _oNGrenWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchGrenWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNGrenWHyp_ - _oNGrenWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wNEGrnWH_	wNEGrnWH	wNEGrnWH																																																	
345	0	0	0	0	_wDExchBlueWHyp_	_gDW_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_DW_in_blue_greens_from_and_to_hypolimnion	-	-1	_wDExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDBlueWHyp_ - _oDBlueWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDBlueWHyp_ - _oDBlueWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDBlueWHyp_ - _oDBlueWEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDBlueWHyp_ - _oDBlueWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wDEBleWH_	wDEBleWH	wDEBleWH																																																	
346	0	0	0	0	_wPExchBlueWHyp_	_gP_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_P_in_blue_greens_from_and_to_hypolimnion	-	-1	_wPExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPBlueWHyp_ - _oPBlueWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPBlueWHyp_ - _oPBlueWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPBlueWHyp_ - _oPBlueWEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPBlueWHyp_ - _oPBlueWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wPEBleWH_	wPEBleWH	wPEBleWH																																																	
347	0	0	0	0	_wNExchBlueWHyp_	_gN_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_N_in_blue_greens_from_and_to_hypolimnion	-	-1	_wNExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNBlueWHyp_ - _oNBlueWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNBlueWHyp_ - _oNBlueWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNBlueWHyp_ - _oNBlueWEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchBlueWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNBlueWHyp_ - _oNBlueWEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wNEBleWH_	wNEBleWH	wNEBleWH																																																	
348	0	0	0	0	_wDExchZooWHyp_	_gDW_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_DW_in_zooplankton_from_and_to_hypolimnion	-	-1	_wDExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDZooHyp_ - _oDZooEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDZooHyp_ - _oDZooEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDZooHyp_ - _oDZooEpi_) _ELSE_ 0.0 _ENDIF_	_wDExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oDZooHyp_ - _oDZooEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wDExZoWH_	wDExZoWH	wDExZoWH																																																	
349	0	0	0	0	_wPExchZooWHyp_	_gP_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_P_in_zooplankton_from_and_to_hypolimnion	-	-1	_wPExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPZooHyp_ - _oPZooEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPZooHyp_ - _oPZooEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPZooHyp_ - _oPZooEpi_) _ELSE_ 0.0 _ENDIF_	_wPExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oPZooHyp_ - _oPZooEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wPExZoWH_	wPExZoWH	wPExZoWH																																																	
350	0	0	0	0	_wNExchZooWHyp_	_gN_*_m_^-3*_d_^-1	0	Exchange_fluxes_for_hypolimnion_and_epilimnion	Diffusive_exchange_flux_of_N_in_zooplankton_from_and_to_hypolimnion	-	-1	_wNExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNZooHyp_ - _oNZooEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNZooHyp_ - _oNZooEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNZooHyp_ - _oNZooEpi_) _ELSE_ 0.0 _ENDIF_	_wNExchZooWHyp_= _IF_ (_aInclStrat_ _EQ_ _TRUE_ ) _THEN_ _akExchWHyp_ *(_oNZooHyp_ - _oNZooEpi_) _ELSE_ 0.0 _ENDIF_	TRUE	TRUE	TRUE	_wNExZoWH_	wNExZoWH	wNExZoWH																																																	
